nome,ruolo,squadra,punteggio,titolarita
Odgaard,C,Bologna,63,0.57
Bernabe,C,Parma,16.25,0.89
Calo,C,Frosinone,13.25,0.83
Gaetano,C,Atalanta,16.96,0.68
Oristanio,C,Torino,61,0.67
Unai Gomez,C,Udinese,12.54,0.55
Volpato,C,Sassuolo,7.26,0.75
Fazzini,C,Cagliari,5.83,0.84
Ferguson,C,Bologna,21.8,0.26
Frendrup,C,Genoa,24.07,0.72
Lobotka,C,Napoli,24.61,0.23
Pessina,C,Monza,60,0.91
Frattesi,C,Inter,13.78,0.14
Sow,C,Genoa,59,0.55
Liberali,C,Como,58,0.27
Zalewski,C,Atalanta,22.36,0.46
Akinsanmiro,C,Monza,0.53,0.84
Basic,C,Venezia,13.99,0.88
Caqueret,C,Como,22.23,0.18
Ellertsson,C,Genoa,7.97,0.72
Karlstrom,C,Udinese,20.24,0.37
Nicolussi Caviglia,C,Parma,19.99,0.65
Oulai,C,Fiorentina,57,0.20
Pierotti,C,Lecce,57,0.81
Rovella,C,Lazio,18.71,0.36
Zhegrova,C,Juventus,29.57,0.26
Adopo,C,Cagliari,7.95,0.69
Coulibaly L,C,Lecce,20.43,0.63
Pobega,C,Bologna,22.47,0.18
Winks,C,Cagliari,56,0.75
Chukwueze,C,Milan,14.48,0.19
Fofana Y,C,Milan,55,0.42
Cacciamani,C,Torino,5.78,0.60
Mkhitaryan,C,Inter,28.12,0.28
Ondrejka,C,Parma,54,0.68
Pisilli,C,Roma,10.64,0.52
Adzic,C,Sassuolo,10.42,0.30
Bakola,C,Sassuolo,1.06,0.66
Berisha M,C,Lecce,13.45,0.78
Busio,C,Venezia,15.37,0.79
Dele-Bashiru,C,Lazio,14.31,0.25
Gandelman,C,Lecce,19.11,0.65
Gineitis,C,Torino,14.84,0.34
Keita M,C,Parma,20.78,0.58
Koopmeiners,C,Juventus,26.78,0.18
Matic,C,Sassuolo,18.97,0.43
Meichtry,C,Genoa,53,0.44
Milla,C,Como,53,0.11
Perez K,C,Venezia,53,0.71
Piotrowski,C,Udinese,7.95,0.25
Sohm,C,Venezia,21.41,0.76
Zerbin,C,Frosinone,6.25,0.68
Addai,C,Como,52,0.07
Amondarain,C,Bologna,52,0.12
Felici,C,Cagliari,52,0.41
Romano,C,Cagliari,52,0.68
Traore Hj,C,Genoa,52,0.28
El Aynaoui,C,Roma,18.08,0.89
Almavist,C,Parma,49,0.42
Fitz-Jim,C,Torino,49,0.27
Luis Henrique,C,Inter,22.34,0.13
Amorim,C,Genoa,2.42,0.22
Cataldi,C,Lazio,20.72,0.19
Cichella,C,Frosinone,48,0.62
De Roon,C,Atalanta,48,0.31
Douglas Luiz,C,Juventus,48,0.13
Folorunsho,C,Napoli,17.11,0.15
Jashari,C,Milan,5.88,0.11
Koutsoupias,C,Frosinone,48,0.69
Loftus-Cheek,C,Milan,27.95,0.08
Moro N,C,Bologna,14.31,0.09
Ngom,C,Lecce,48,0.43
Ricci S,C,Milan,25.73,0.16
lIkhan,C,Torino,48,0.12
Fabbian,C,Fiorentina,21.45,0.11
Miller L,C,Udinese,5.83,0.93
Prati,C,Cagliari,14.84,0.20
Diallo O,C,Parma,43,0.23
Miretti,C,Juventus,17.86,0.10
Njie,C,Torino,43,0.21
Sorensen O,C,Parma,7.95,0.32
Stankovic A,C,Inter,43,0.09
Deiola,C,Cagliari,42,0.34
Dominguez B,C,Bologna,42,0.07
Fini,C,Frosinone,42,0.43
Gelli F,C,Frosinone,42,0.29
Gilmour,C,Napoli,5.3,0.12
Messias,C,Genoa,25.03,0.15
Brescianini,C,Fiorentina,23.46,0.08
Colombo L,C,Monza,41,0.74
Helgason,C,Venezia,41,0.43
Sulemana I,C,Atalanta,3.97,0.19
Aboukhlal,C,Torino,40,0.07
Boloca,C,Sassuolo,0.53,0.20
Chakvetadze,C,Udinese,33,0.18
Ciurria,C,Monza,33,0.56
Hasa,C,Frosinone,33,0.20
Lipani,C,Sassuolo,5.83,0.14
Maleh,C,Lecce,33,0.29
Musah,C,Milan,33,0.06
Ordonez C,C,Parma,33,0.12
Venturino,C,Genoa,0.53,0.11
Duncan,C,Venezia,32,0.29
El Azzouzi O,C,Bologna,18.08,0.05
Masini,C,Genoa,14.13,0.07
Fadera,C,Como,6.98,0.04
Belahyane,C,Lazio,20,0.17
Przyborek,C,Lazio,3.71,0.12
Anjorin,C,Torino,5.3,0.06
Camara A,C,Udinese,19,0.09
Cremaschi,C,Parma,1.06,0.10
El Azzouzi A,C,Frosinone,18.08,0.15
Gorter,C,Lecce,19,0.23
Kone B,C,Frosinone,19,0.11
Zarraga,C,Udinese,19,0.14
llic,C,Torino,19,0.08
Kaba,C,Lecce,17,0.13
Dagasso,C,Venezia,15,0.14
Fofana Sa,C,Lecce,15,0.06
Lahdo,C,Como,15,0.03
Liteta,C,Cagliari,15,0.10
lannoni,C,Sassuolo,15,0.06
Martinez L,A,Inter,129.36,0.85
Malen,A,Roma,113.9,0.89
Thuram,A,Inter,119.01,0.75
Hojlund,A,Napoli,83.25,0.88
Ramos G,A,Milan,102.37,0.86
Kolo Muani,A,Juventus,109.48,0.80
Kean,A,Fiorentina,84.44,0.93
Yildiz,A,Juventus,52.47,0.73
Douvikas,A,Como,53.3,0.93
Davis K,A,Udinese,47.74,0.93
Scamacca,A,Atalanta,41.69,0.77
Berardi,A,Sassuolo,24.73,0.80
Leao,A,Milan,34.62,0.68
De Ketelaere,A,Atalanta,32.27,0.68
Krstovic,A,Atalanta,43.1,0.31
Dovbyk,A,Bologna,35.09,0.93
Esposito F.P,A,Inter,77,0.29
Lauriente,A,Sassuolo,27.03,0.70
Pellegrino M,A,Parma,29.28,0.87
Simeone,A,Torino,31.35,0.91
Castro S,A,Roma,31.27,0.61
Dybala,A,Roma,38.98,0.27
Santos A,A,Napoli,22.61,0.54
Esposito Se,A,Cagliari,72,0.76
Nkunku,A,Milan,55.85,0.26
Pinamonti,A,Sassuolo,23.08,0.30
Raspadori,A,Atalanta,75.37,0.16
Soule,A,Roma,79.72,0.15
Adams A,A,Venezia,70,0.80
Colombo,A,Genoa,19.78,0.93
Diao,A,Como,24.91,0.66
Toure E,A,Parma,4.59,0.68
Lukaku,A,Napoli,44.67,0.27
Bowie,A,Sassuolo,16.01,0.16
Dia,A,Lazio,39.05,0.77
Ratkov,A,Lazio,39.96,0.86
David,A,Juventus,94.73,0.26
Adams C,A,Torino,64,0.67
Cutrone,A,Monza,15.01,0.77
Ghedjemis,A,Frosinone,64,0.83
Geubbels,A,Lecce,63,0.85
Dallinga,A,Bologna,18.13,0.93
Piccoli,A,Fiorentina,21.55,0.93
Yeboah J,A,Venezia,61,0.66
Rrahmani Al,A,Venezia,60,0.27
Vitinha O,A,Genoa,25.8,0.73
Raimondo,A,Frosinone,59,0.77
Bonny,A,Inter,16.78,0.11
Stulic,A,Lecce,22.1,0.75
Zapata D,A,Torino,20.14,0.28
Boga,A,Juventus,24.35,0.14
Neres,A,Napoli,56,0.14
Mutandwa,A,Cagliari,55,0.63
Noslin,A,Lazio,19.96,0.36
Sulemana K,A,Atalanta,20.77,0.08
Gimenez,A,Milan,39.8,0.07
Camarda,A,Milan,4.94,0.14
Mota,A,Monza,52,0.69
Adorante,A,Venezia,51,0.16
Frigan,A,Parma,51,0.27
Maldini,A,Cagliari,10.95,0.29
Kvernadze,A,Frosinone,47,0.40
Borrelli,A,Cagliari,7.55,0.15
Giovane,A,Napoli,18.44,0.07
Havel,A,Genoa,46,0.34
Kulenovic,A,Torino,17.5,0.15
Mendy P,A,Cagliari,1.06,0.09
Morata,A,Como,31.93,0.24
Robinson J,A,Monza,46,0.29
Gueye,A,Udinese,45,0.56
Ekhator,A,Juventus,21.73,0.08
