nome,ruolo,squadra,punteggio,titolarita
Santos A,A,Napoli,73,0.54
Esposito Se,A,Cagliari,72,0.76
Nkunku,A,Milan,72,0.26
Pinamonti,A,Sassuolo,72,0.30
Raspadori,A,Atalanta,72,0.16
Soule,A,Roma,71,0.15
Adams A,A,Venezia,70,0.80
Colombo,A,Genoa,69,0.93
Diao,A,Como,69,0.66
Toure E,A,Parma,68,0.68
Lukaku,A,Napoli,67,0.27
Bowie,A,Sassuolo,66,0.16
Dia,A,Lazio,66,0.77
Ratkov,A,Lazio,66,0.86
David,A,Juventus,65,0.26
Adams C,A,Torino,64,0.67
Cutrone,A,Monza,64,0.77
Ghedjemis,A,Frosinone,64,0.83
Geubbels,A,Lecce,63,0.85
Dallinga,A,Bologna,61,0.93
Piccoli,A,Fiorentina,61,0.93
Yeboah J,A,Venezia,61,0.66
Rrahmani Al,A,Venezia,60,0.27
Vitinha O,A,Genoa,60,0.73
Raimondo,A,Frosinone,59,0.77
Bonny,A,Inter,58,0.11
Stulic,A,Lecce,58,0.75
Zapata D,A,Torino,58,0.28
Boga,A,Juventus,56,0.14
Neres,A,Napoli,56,0.14
Mutandwa,A,Cagliari,55,0.63
Noslin,A,Lazio,55,0.36
Sulemana K,A,Atalanta,55,0.08
Gimenez,A,Milan,54,0.07
Camarda,A,Milan,52,0.14
Mota,A,Monza,52,0.69
Adorante,A,Venezia,51,0.16
Frigan,A,Parma,51,0.27
Maldini,A,Cagliari,51,0.29
Kvernadze,A,Frosinone,47,0.40
Borrelli,A,Cagliari,46,0.15
Giovane,A,Napoli,46,0.07
Havel,A,Genoa,46,0.34
Kulenovic,A,Torino,46,0.15
Mendy P,A,Cagliari,46,0.09
Morata,A,Como,46,0.24
Robinson J,A,Monza,46,0.29
Gueye,A,Udinese,45,0.56
Ekhator,A,Juventus,41,0.08
Elphege,A,Parma,41,0.18
Lang,A,Napoli,41,0.05
Lucca,A,Napoli,41,0.04
N'Dri,A,Lecce,41,0.40
Varela G,A,Monza,40,0.15
Kuhn,A,Como,39,0.11
Petagna,A,Monza,32,0.10
Buksa,A,Udinese,31,0.30
Vaz,A,Roma,19,0.08
Bayo V,A,Udinese,18,0.20
Trepy,A,Cagliari,17,0.06
Albarracin,A,Cagliari,15,0.03
Azon,A,Como,15,0.05
Lauberbach,A,Venezia,15,0.04
Lisman,A,Venezia,15,0.06
Moro L,A,Sassuolo,15,0.05
